sound,note
Laser,27
Whip,28
Scratch Push,29
Scratch Pull,30
Stick Click,31
Metronome Click,32
Metronome Bell,34
Bass Drum,35
Kick Drum,36
Snare Cross Stick,37
Snare Drum,38
Hand Clap,39
Electric Snare Drum,40
Floor Tom 2,41
Hi-Hat Closed,42
Floor Tom 1,43
Hi-Hat Foot,44
Low Tom,45
Hi-Hat Open,46
Low-Mid Tom,47
High-Mid Tom,48
Crash Cymbal,49
High Tom,50
Ride Cymbal,51
China Cymbal,52
Ride Bell,53
Tambourine,54
Splash cymbal,55
Cowbell,56
Crash Cymbal 2,57
Vibraslap,58
Ride Cymbal 2,59
High Bongo,60
Low Bongo,61
Conga Dead Stroke,62
Conga,63
Tumba,64
High Timbale,65
Low Timbale,66
High Agogo,67
Low Agogo,68
Cabasa,69
Maracas,70
Whistle Short,71
Whistle Long,72
Guiro Short,73
Guiro Long,74
Claves,75
High Woodblock,76
Low Woodblock,77
Cuica High,78
Cuica Low,79
Triangle Mute,80
Triangle Open,81
Shaker,82
Sleigh Bell,83
Bell Tree,84
Castanets,85
Surdu Dead Stroke,86
Surdu,87
Snare Drum Rod,91
Ocean Drum,92
Snare Drum Brush,93
